entity_id,transport_term,category,related_places,doc_id,page_number,context_snippet,confidence
transport_6223c062e3c0b6,铁路,rail,,swhgz_8ac060901a96,22,，日本人佐佐木在盛设通运公司，垄断丝绸 运输。11 月29 日，沈立群率部在苏嘉铁路62 号桥附近埋雷炸毁 铁路并与日军激战。 民国28 年(1 939) 3 月 18 日，汪伪国民党第三区党部成立。 民国29 年(1 9,high
transport_e9770297ba9a0f,公路,road,吴江,swhgz_8ac060901a96,25,成立国营商业公司和集体商业公司。7 月，盛坛公路通车。9 月，新 生丝织厂、吴江印染厂的水谢牌12101 真丝练白双绝获国家银质 奖。 1985 年3 月 2,high
transport_3d0d89dca70fb7,公路,road,,swhgz_8ac060901a96,27,40' ，北纬30 0 54'。京抗运河 流经慎之东，离镇仅3 公里，镇之东、西白漾均有河道通向运河。苏 嘉公路在镇之北但)j 和东郊通过。镇区呈团状形，东至戚家坝，西至 坛丘革新村，南至沉瓦桥，北至如意村，东北至鸭头坝，,high
transport_b914de215b5846,道路,road,,swhgz_8ac060901a96,27,水道纵横如网，一派 江南水乡风貌。 20 世纪50 年代后，先后填平了市河、小庙港、北 泯等11 条河泯，改成道路，镇区地貌有所改变。 全镇地面高度为吴淤基面3.8-4.5 米，西白漾围垦田高度则 在3.5-4.0 米之间，,high
transport_6ac4b3f8a5c1a1,运河,waterway,,swhgz_8ac060901a96,27,距县城松陵镇32 公里，南抵浙 江王江泾4 公里。地理座标东经120 0 40' ，北纬30 0 54'。京抗运河 流经慎之东，离镇仅3 公里，镇之东、西白漾均有河道通向运河。苏 嘉公路在镇之北但)j 和东郊通过。镇区呈团状,high
transport_e342907d92af9e,运河,waterway,,swhgz_8ac060901a96,27,经120 0 40' ，北纬30 0 54'。京抗运河 流经慎之东，离镇仅3 公里，镇之东、西白漾均有河道通向运河。苏 嘉公路在镇之北但)j 和东郊通过。镇区呈团状形，东至戚家坝，西至 坛丘革新村，南至沉瓦桥，北至如意村，东,high
transport_38f8f6d8fec846,交通,general_transport,,swhgz_8ac060901a96,30,.68 46.02 53.98 建筑业 186 174 12 1. 13 93.54 6.46 交通运输、邮电通信业 423 375 48 2.58 88.65 11.35 商业饮食业、物资供销及仓 1,high
transport_fdbae83da52226,公路,road,,swhgz_8ac060901a96,32,花园街，将原鹅卵石路面改铺 石板路面。 1931 年至1935 年，区公所劝募经费，雇工建造马家弄 北口至苏嘉公路(便道)，路宽4 米，砂石路面。改建拓宽田瑾口至 目澜洲石瑾为煤屑路，填平交白荡。 1939 年，日军为军事上,high
transport_56894193eb5eca,公路,road,,swhgz_8ac060901a96,32,最宽她6 米。1983 年改铺水 泥路面。因舜新路兴起，该街商业地位已呈下降之势。 舜新路 原系马家弄口至苏嘉公路便道，1958 年路面移向东 侧三元弄口，南口遥接北新街，路面拓宽至8 米。1978 年铺设溺青 路面，198,high
transport_8a7b29a706e00b,码头,waterway,,swhgz_8ac060901a96,32,厘米口 径的738.1 米z 疏泼河道1105.3 米z 新建驳岸5 处，1020.9 米z 河 桥(岸边小码头) 29 座。全镇45 条街己铺设水泥路面38 条，129 条里弄已铺设水泥路面95 条. 二、主要街道 盛,high
transport_0f058582922073,交通,general_transport,,swhgz_8ac060901a96,33,"。 踩坊弄 因开设过踩坊而得名。今写作""彩坊弄""，误。 新开弄 民国4 年(1 915 年)灯会失火后，为便利交通，郑式 如舍地辟一新弄，故名。 卡家弄 l、舜年故居在该弄过北，为纪念卡舜年，故名。 仲家弄 有南北两条，因济",high
transport_fc19125c016fac,桥梁,bridge,,swhgz_8ac060901a96,34,地而得名。 王家庄 因清代王矢故居在此而得名。王失故居名东呆草堂， 即卡舜年故居绿晓庄址。 第二节桥 闷 一、桥梁 建国初，全镇有桥梁29 座，大多为拱形石桥。数十年间，先后 拆除19 座。它们是z 东庙桥、龄嘉桥、普嘉桥(,high
transport_7d07e059d6453a,桥梁,bridge,,swhgz_8ac060901a96,34,因清代王矢故居在此而得名。王失故居名东呆草堂， 即卡舜年故居绿晓庄址。 第二节桥 闷 一、桥梁 建国初，全镇有桥梁29 座，大多为拱形石桥。数十年间，先后 拆除19 座。它们是z 东庙桥、龄嘉桥、普嘉桥(以上初建于晋唐)、,high
transport_71ce45bb3a6873,桥梁,bridge,,swhgz_8ac060901a96,34,"叉名永兴桥，跨狭港啸，建置无考，原 系石拱桥，后改为桥闸两用建筑，桥形已变。其余古桥，均见""文 物""篇。 新式桥梁共14 座，多为钢筋混凝土平桥，分述如下z 圆明寺桥 苏嘉公路桥，初建于1933 年，为木质桥梁，1971年",high
transport_9eb80316740070,桥梁,bridge,,swhgz_8ac060901a96,34,"物""篇。 新式桥梁共14 座，多为钢筋混凝土平桥，分述如下z 圆明寺桥 苏嘉公路桥，初建于1933 年，为木质桥梁，1971年 改建，长68 米，宽7.3 米。 永兴桥 苏嘉公路桥，初建于1933 年，为木质桥梁， 1972",high
transport_a401943a506df7,桥梁,bridge,,swhgz_8ac060901a96,34,年，为木质桥梁，1971年 改建，长68 米，宽7.3 米。 永兴桥 苏嘉公路桥，初建于1933 年，为木质桥梁， 1972 年 改建，长8 米，宽7.3 米。 带福桥苏嘉公路桥，初建于1933 年，为木质桥梁，1972,high
transport_417a82b45c3672,运河,waterway,,swhgz_8ac060901a96,37,"第三章兵 事 盛泽在吴越春秋时属吴越边界，在新杭与王江泾附近发生过 战争。隋朝后，因盛泽不在大运河沿岸，""邮地曲僻，远城邑官 道""，故历代战事甚少，明代有""兵焚不加""的记载(卡梦熊《盛川题 景记>>)。抗倭时",high
transport_80423e9f42e010,道路,road,,swhgz_8ac060901a96,39,月，太平军攻杭州，盛泽以小船装运军饷。清将赵景贤 曾两次规舰平望，王永义带兵从盛泽出击，将赵部击退，保证苏浙 道路畅通。盛泽实为太平军的心腹要地。 同治三年(1864 )，太平天国失败后，盛泽乡官沈枝栅、监军 李广亭被清朝处,high
transport_25503ad43bf5a3,交通,general_transport,上海;苏州,swhgz_8ac060901a96,39,九空，多避往上海、苏州。至7 日 夜，浙军撤回王江泾。盛浑开往苏、沪、嘉三处的客轮被军队扣留， 快班航船停驶，交通滞塞，商店关闭，学校放假，邮局的汇兑业务 停顿。 9 月 23 日下午，苏军第二师第五团及军舰2 艘，水警船8,high
transport_1103dc412ac3f8,铁路,rail,,swhgz_8ac060901a96,40,年( 1939 ) 11 月29 日 晨，张鹏飞、沈立群率部三、四百众，潜伏于盛泽、平望间的端宇湖， 在苏嘉铁路第六十二号桥附近埋设地雷。是时，乡保将游击队形 迹密告日军，盛泽、平望日军旋即驰往端宇湖夹击，双方激战历半 小,high
transport_8e1bd873965bf6,铁路,rail,吴江,swhgz_8ac060901a96,40,是时，乡保将游击队形 迹密告日军，盛泽、平望日军旋即驰往端宇湖夹击，双方激战历半 小时之久。所埋地雷爆炸，炸毁铁路。因寡不敌众，游击队向周家 溪东溪港方向撤离。、交战中，双方各有伤亡，有一农民一小孩中流 弹而亡(据((新吴江,high
transport_c6c12880807e00,道路,road,,swhgz_8ac060901a96,47,备，两三年内成绩斐 然，织机向提花、宽阔系列发展。同时配备了相应的络、并、拈设 备，为大幅度增产绝类织物拓宽了道路。1976年绝类织物仅4 个品 种，36 万米J 1979 年增至20 个品种，337 万米，增产8 倍余。经,high
transport_1d76d4d0b9b7c5,运河,waterway,南汇,swhgz_8ac060901a96,55,帮F 按织物花色则分花帮、素帮 两大帮F 按收绸区域则分成南帮(镇南地区)、北帮(镇北地区)及 下塘帮(镇东南运河以东地区，即今嘉兴县田乐、荷花、南汇一带) 三大帮。 按照盛泽地区传统的交易模式，农村机户将织成的绸匹委托 傲,high
transport_848a6fd6dfb610,客运,passenger_transport,,swhgz_8ac060901a96,69,袋运送，专门包雇了两艘邮政快船，分日夜两班开往嘉兴， 再以嘉兴衔接沪杭铁路。 客轮、航船、航快班船 这些船只除客运外兼备丝绸等零星货 运。据民国25 年(1936) 9 月统计，盛泽有运货船13 艘，民国35年 (1946),high
transport_a7e979d643a589,货运,freight_transport,苏州,swhgz_8ac060901a96,69,活快捷9 一夜即可抵达苏州。此类船只航程大致在一 昼夜之内，遍及江浙边境的偏僻小乡镇，将生丝运入盛泽，而将绸 货运出，批量虽小，却弥补了常规水运业的不足。盛泽设立邮局 后，以邮袋运送，专门包雇了两艘邮政快船，分日夜两班开往嘉,high
transport_b020bafeab58ca,客运,passenger_transport,,swhgz_8ac060901a96,70,7 年(1948) 又有茂兴轮自 盛泽通航嘉兴。建国前，盛泽先后有27 艘客轮通航。 此外p 还有航快班船，以客运为主，兼营货运。每船大多可载 客20 人左右、载货20 担左右。据民国25 年(1936)船舶登记，盛 泽有航,high
transport_ce81224f42b03f,货运,freight_transport,,swhgz_8ac060901a96,70,8) 又有茂兴轮自 盛泽通航嘉兴。建国前，盛泽先后有27 艘客轮通航。 此外p 还有航快班船，以客运为主，兼营货运。每船大多可载 客20 人左右、载货20 担左右。据民国25 年(1936)船舶登记，盛 泽有航船35 艘，抗,high
transport_251a249eb9d3a1,道路,road,盛泽镇,swhgz_8ac060901a96,71,乡公路逐条通车，水 上客运萧条，至1986 年轮船客运全部停顿。 第二节陆 :tE 盛泽镇的陆路交通运输，因道路建设受河湖众多的限制，起源 较晚，30 年代始有汽车和火车通行。不久，铁路被日军拆除，仅存 公路运输，且发展缓,high
transport_fa08b378629358,客运,passenger_transport,上海,swhgz_8ac060901a96,71,盛泽 上海一朗外l 盛泽 ;王兴 茂兴 1948年 且运泽一嘉兴 王江泾 建国后，航船快班船运输渐萎缩。因公路客运受遇车地点、班 次限制，轮船仍为客运主要工具，其业务有所发展。除原有盛苏、 盛嘉、盛申等客班轮船外，建华轮船公,high
transport_010f14b3c9bb24,客运,passenger_transport,,swhgz_8ac060901a96,71,兴 1948年 且运泽一嘉兴 王江泾 建国后，航船快班船运输渐萎缩。因公路客运受遇车地点、班 次限制，轮船仍为客运主要工具，其业务有所发展。除原有盛苏、 盛嘉、盛申等客班轮船外，建华轮船公司的苏杭班曾在盛泽停靠。 60年代后,high
transport_86b0fb2768d427,客运,passenger_transport,,swhgz_8ac060901a96,71,装小马力机和小马力机船拖带，县内各乡 镇通航点增加，盛泽可通航至桃源、坛丘、南麻等地。自 70 年代 起，轮船客运量呈萎缩之势。 1980 年后，因镇乡公路逐条通车，水 上客运萧条，至1986 年轮船客运全部停顿。 第二节陆,high
transport_42a160294de564,货运,freight_transport,,swhgz_8ac060901a96,71,行。不久，铁路被日军拆除，仅存 公路运输，且发展缓慢。 1980 年后，发展较快，公路客运逐步代替 轮船客运、货运。 295,high
transport_6ec06b93f75bb5,道路,road,,swhgz_8ac060901a96,72,，金鸡车行5 辆，共27 辆。这些车行经营出租业 务。直至建国初，全镇自行车不足百辆。 1980 年后，因镇乡道路 的改善(1984 年5 月开始建设乡道，1987 年贯通各自然村)，镇区 范围的扩大，自行车已成为人们主要代,high
transport_123724e45bdce9,货运,freight_transport,,swhgz_8ac060901a96,72,"欢迎。""文化大革命""初一度停顿。 1980年后该组实行个 体承包，1988 年，全镇现有三轮车是5 辆。 二、货运 自苏嘉公路通车，始有汽车货运，但由于客车承运行李包裹、 丝绸产品，运费高昂，运输量甚少。直到60 年代，外运",high
transport_d04abf68e56390,货运,freight_transport,,swhgz_8ac060901a96,72,。 1980年后该组实行个 体承包，1988 年，全镇现有三轮车是5 辆。 二、货运 自苏嘉公路通车，始有汽车货运，但由于客车承运行李包裹、 丝绸产品，运费高昂，运输量甚少。直到60 年代，外运的绸缎仍以 291,high
transport_d9f756e4ea08fc,渡口,waterway,,swhgz_8ac060901a96,97,"目，以点缀风景，故名。桥北荡古名红梨荡。红梨亦 成为盛泽别称，柳亚于诗""一水红梨旧梦痕""即是。 1958 年后渡口 始废。 龙庵厂 明朱之蕃未及第时寓此读书。里人卡舜年亦曾读书 于此。 卡舜年《读书龙庵厂》诗云z"" 僧崇明敞",high
transport_60890d8f5c6d66,交通,general_transport,,swhgz_f4a9a18a5f20,17,皖革命老根据 地的重要组成部分。境内千峰竞秀，万壑争流，生物多样，资源丰富，是全国 生态示范县。 解放前在这个交通闭塞的山区，岳西广大人民群众赖以疗疾生存仅依靠 社会上那些中医郎中和部分中药店铺坐堂售药或巡诊乡里，以有限的山,high
transport_bb85394a126f98,公路,road,,swhgz_f4a9a18a5f20,108,（村部） 2 来榜镇南山村卫生室 南山村小学 1 来榜镇斑竹村卫生室 斑竹村五星组 2 来榜镇公路村卫生室 公路村关河桥 1 来榜镇来榜村卫生室 来榜村新华组 1 古坊乡长岭村卫生室 长岭村村部,high
transport_1957e9f9e0f27a,公路,road,,swhgz_f4a9a18a5f20,108,来榜镇南山村卫生室 南山村小学 1 来榜镇斑竹村卫生室 斑竹村五星组 2 来榜镇公路村卫生室 公路村关河桥 1 来榜镇来榜村卫生室 来榜村新华组 1 古坊乡长岭村卫生室 长岭村村部 1 古坊乡,high
transport_4519e9982c4f19,桥梁,bridge,,swhgz_f4a9a18a5f20,109,2 白帽镇马河村卫生室 马河村下河组（村部） 1 白帽镇马山村卫生室 马山村贺屋组 2 白帽镇桥梁村卫生室 桥梁村大屋组麻厂侧面 2 白帽镇深村村卫生室 深村村钟形组 2 白帽镇土桥村卫生室 土,high
transport_29c78283ec5488,桥梁,bridge,,swhgz_f4a9a18a5f20,109,河村卫生室 马河村下河组（村部） 1 白帽镇马山村卫生室 马山村贺屋组 2 白帽镇桥梁村卫生室 桥梁村大屋组麻厂侧面 2 白帽镇深村村卫生室 深村村钟形组 2 白帽镇土桥村卫生室 土桥村河东组（村部,high
transport_beb4b0d25add33,公路,road,,swhgz_f4a9a18a5f20,112,下团村 1 田头乡陈金龙内科诊所 岭后村对门组8 号 1 岩河乡蒋冲村卫生室 蒋冲村海形组岩菖公路交汇处 2 岩河乡转桥村卫生室 转桥村杨湾组6 号 2 岩河乡里仁村卫生室 里仁村徐湾组（村部）,high
transport_fb0647cc9af80b,交通,general_transport,,swhgz_f4a9a18a5f20,217,226 第六章 中医与中西医结合 岳西中医药事业的开展由来已久。建国前这个交通闭塞的大山区，广大人 民群众赖以疗疾生存的仅依靠社会中医，坐堂诊病售药或巡诊乡里，以维系着 人们的生老病死，利,high
transport_e19bfee07b0670,公路,road,,swhgz_f4a9a18a5f20,302,生员个体承包经营的诊所（室）。 第三节 劳保医疗 1956 年后，县药材公司、食品公司、森工局、邮电局、公路管理站、供 电局、车队、毛尖山电站、国防5 厂和长安技校等单位，先后实行劳保医疗制 度，享受劳保医疗的职工，除,high
transport_c0747a9cb7f7b3,交通,general_transport,,swhgz_f4a9a18a5f20,316,明山乡500 户特困户手中。5 月，在县卫生局和 县直有关部门的支持下，配合县交警队成功抢救了我县历史上罕见的交通事故 —“5.17 翻车事故”，使53 名乘客（包括24 名重伤员）安全脱险无一死亡。 1994 年县红十字会,high
transport_86d9b7126a062e,公路,road,,swhgz_f4a9a18a5f20,327,后带教学 徒十余人，现均为中药战线的骨干力量。 杨庚镕 杨庚镕，字化成（1908—1976），本县来榜镇公路村人。 他承袭祖父、父亲之业，自幼随父学习中医，饱读医书，勤于实践，十九 岁正式开始行医。在继承祖辈的临床经验,high
transport_a587d1924459e1,交通,general_transport,,swhgz_f4a9a18a5f20,331,通。临床用药不徇俗好，注重 配伍，诸如临床常用的酸甘化阴，辛甘扶阳，辛开苦泄，升清降浊，消补兼施， 温清并用，交通心肾，引火归元等方药，他将其进一步演变为温阳略加养阴， 补阴常兼益气，疏肝兼理脾胃，养肝兼顾心肾，清滋与辛芳相,high
transport_5051eec3db4391,交通,general_transport,岳西县,swhgz_f4a9a18a5f20,333,防疫站站长，县妇幼保健站副站长、站长、调研 员等职务。 陈惠芬同志在岳西工作的三十一年里，在山区地理环境恶劣，交通极其不 便，信息又十分闭塞的条件下跑遍了岳西的山山水水，走村串户为岳西县的妇 女儿童保健事业的兴起与发展做出了,high
transport_86022ed4b87d28,交通,general_transport,,swhgz_7bb6b2710a31,11,"行新例 , 只略有增册 。有篇目二十 大事记 、天文 、地理 内政 、财政 、司法 、教育 、军备 、水工 、交通 、物产 、农业 、工业 、商业 、社会 、宗教 、 人物 、艺文 、金石 、书画 附目一百五十二 本文从略",high
transport_65e3253d2b7e01,公路,road,,swhgz_32ffc1ff5554,4,以上的约三年二遇。 4B13B2B二、水文、水系、水质 本县境处里下河下游，河渠密布，纵横交错，串场河沿通榆公路，自阜城经 施庄、沟墩长达22 公里，射阳河纵穿全县，通过杨集、硕集、陈良、吴滩等10 个公社流向东北，西南境,high
transport_4964740e9d3ba5,公路,road,,swhgz_32ffc1ff5554,5,除了射阳河、串场河和灌溉总渠 外，境内还有恒河、小中河、民便河、阜坎河等水道，陆路有通榆路、阜淮路， 六〇建益公路，除吴滩、北沙两个公社暂时没有通车外，其余公社都已通车，且 村村都有机车道。 农业机械得到进一步改善，全县各种,high
transport_d65aa1738599ca,交通,general_transport,,swhgz_32ffc1ff5554,5,64 元，比一九五九年增长8.57 倍，递增率9.37%。(详见 表1～2) 农业生产的迅速上升，促进工业与交通运输事业的不断发展。1949 年全县工 业总产值489 万元，到1983 年增加到22817 万元，增加46.,high
transport_c695f1bfd864c2,交通,general_transport,,swhgz_32ffc1ff5554,5,值489 万元，到1983 年增加到22817 万元，增加46.67 倍，占全县工农 业总产值的50.34%，交通运输事业发展也很快，除了射阳河、串场河和灌溉总渠 外，境内还有恒河、小中河、民便河、阜坎河等水道，陆路有通榆路,high
transport_a4fe7ba4c8091f,运河,waterway,,swhgz_32ffc1ff5554,17,射阳河、庙湾(阜 宁城旧称)数百里无有人烟，次年积水仍未消失，此次决口向东南方向淤塞六十 多里。又如道光十一年运河决马蓬湾启放车坝，县境平地水深丈余。由于屡受黄 泛冲积影响，废黄河沿岸地势不断增高，并沿泛流方向，向两侧延伸，,high
transport_40f534ac7e7555,公路,road,,swhgz_32ffc1ff5554,21,高了水位，造成了土壤积盐的条件，芦蒲、古河、杨集、东沟、益林等地，土 质沙性重，目前仍有一定面积的沙碱土。通榆公路以东土体中含有一定量的盐分， 由于一年之内干湿交替，雨季盐碱受降水淋洗，土壤表层发生脱盐，到了冬春季 节，随着,high
transport_00981cd596bbf4,公路,road,,swhgz_32ffc1ff5554,22,自然植被对土壤形成的影响，在盐土区更为明显，通榆公路以东地区土壤因受海 水浸泡，成陆之后为一片海滩不毛之地，在雨量高又集中的有利气候条件下，成 土物质迅速开始脱盐,high
transport_3b9ada27384657,公路,road,,swhgz_32ffc1ff5554,34,表层夹泥和上层复 盖情况，又分为夹泥岗沙土和复盖岗沙土，这两个土种零星分布。 (五)滨海地区，三灶境内靠近通榆公路一带多为油泥土，(地面高程1.5～2 米)从三灶到沟墩，通榆公路以东条带状分布着淀浆土，(地面高程1.5 米以,high
transport_7852908d1e01e6,道路,road,,swhgz_32ffc1ff5554,204,图，由公社水利大队部会同大队水利工程员以及当地的干部、群 众带到实地踏勘、调绘，补充好河网水系、水利工程建筑、道路、桥梁、生 产队界、田块、住宅区域、自然村庄、高程点等地形地物，然后再将补充好 的大队1／5000 地形图进行,high
transport_dabc31f1d34b4d,桥梁,bridge,,swhgz_32ffc1ff5554,204,公社水利大队部会同大队水利工程员以及当地的干部、群 众带到实地踏勘、调绘，补充好河网水系、水利工程建筑、道路、桥梁、生 产队界、田块、住宅区域、自然村庄、高程点等地形地物，然后再将补充好 的大队1／5000 地形图进行汇总，,high
transport_34a7f118acca6f,道路,road,,swhgz_32ffc1ff5554,209,养地，不仅加大了农本，也破坏了土壤生态平衡新情况，及时向领导反应， 县人民政府从保护土地资源出发，走有机农业的道路。于1982 年颁发“关于 积造有机肥促进增产培肥地力的决定”100 号文件，对培肥地力有关问题作 了明确规定,high
transport_a2ba1bc599aa43,道路,road,来安县;来安,swhgz_842a00b22f4b,12,来安县志，全书共十四卷，全面记载 了来安县的建置沿革、疆域星野、山川形势、城池建筑、户口物产、 武备兵防、水利道路桥梁以及学宫书院建置等，特别是较详细地记载 了北宋至清道光历朝历代在来安任职的官员名录，在荐辟和科举中取 得名,high
transport_c2ccba0bf29543,桥梁,bridge,来安县;来安,swhgz_842a00b22f4b,12,县志，全书共十四卷，全面记载 了来安县的建置沿革、疆域星野、山川形势、城池建筑、户口物产、 武备兵防、水利道路桥梁以及学宫书院建置等，特别是较详细地记载 了北宋至清道光历朝历代在来安任职的官员名录，在荐辟和科举中取 得名分的,high
transport_e067889629c09b,渡口,waterway,六合县;江苏;六合,swhgz_842a00b22f4b,61,江北；梁天监二年，魏攻梁⑧，拔大岘三城，白塔、牵城皆溃。魏师进攻 ①形势：地理形势。 ②阻：倚仗。 ③津：渡口。 ④瓜埠：即今江苏六合县东南瓜埠山。古时南临长江，南北朝时屡为兵家必争之地。 瓜埠口为滁河入江口。 ⑤拊：抚,high
transport_74c68f365568ce,驿站,postal/relay,滁州,swhgz_842a00b22f4b,68,东北五十里。宋绍定元年，赵葵守滁，命赵必胜守万山，即此。 有城垒故迹。 ①《州志》：指《滁州志》。 ②铺：邮递驿站。 ③芝：灵芝草。 ④黑：底子，底色。章：花纹。 ⑤以闻：把（这件事）报告给（某人）。,high
transport_e138f26195d038,运河,waterway,天长;来安,swhgz_842a00b22f4b,70,州所由以滁名也。 邑诸水虽无远派，而来安水亦以名县，并其它源流出于县之左右，而 汇于三汊河，及发源县北由天长入运河者，亦不可不详也。缕晰条分 ③，区别如左： 来安水县东三里。其水行沙石间，澄清澈底，一名沙河。源出县北九十里,high
transport_b993ded03f5bc8,运河,waterway,天长县;天长,swhgz_842a00b22f4b,73,水县东北四十五里。源出五湖山北及野塘谷。东北流十五里至丁城， 与白塔水合，又东北入天长县界吉家埠河，注天长河达运河入江。 白塔水县东北五十里白塔镇南。源出赵家港。东流十里入天长县界，注吉 家埠河。 长沟水县北六十里。源出矾山,high
transport_fe159e9fdc1917,运河,waterway,天长,swhgz_842a00b22f4b,73,八十里。源出马岭戚家谷。东南流二十五里，合范庄水入天长 县界，转注吉家埠河，由此过石梁南，会天长河，抵高邮，达运河，入于江。以,high
transport_7b682176a7205c,道路,road,,swhgz_842a00b22f4b,77,，合称廉俸。 ③川堂：天启本作“穿堂”。指供人穿行的厅室。 ④大较：大致情况。 ⑤当：对着。甬道：庭院里正中的道路。 ⑥照墙：也叫照壁。古代房屋的一种附属建筑，在大门外，正对大门。 ⑦廒：储存粮食的仓库。 ⑧县额：指县名。,high
transport_ba72ab6455738a,驿站,postal/relay,,swhgz_842a00b22f4b,79,县王永重修。 嘉庆四年，知县钟希贤修葺前五间；道光元年，知县杨炘修葺后四间。道光七年， ①铺：明清时称邮递驿站为铺。 ②讲约：订约。 ③嗣：接着，不久。 ④请帑：帑，指国库中金钱。请帑，指从官府拨款。 ⑤义仓：地方公共储,high
transport_e346bb054403c1,驿站,postal/relay,来安;滁州,swhgz_842a00b22f4b,82,滁州中把来安独立出来，命名为永阳，使其不再处于“附郭”的地位。 ⑦指撤消县级编制改为镇。 ⑧别：另外。 ⑨驿：驿站。驿路上为投递公文、转运官物及供应来往官员住宿的处所。,high
transport_64960b534e5115,道路,road,,swhgz_842a00b22f4b,95,而索饷之也。”八蜡之名为：一先啬，祭神农；二司啬，祭后稷； 三农，祭古时田官之神；四邮表辍，祭始创田间庐舍、开道路、划疆界之人；五祭猫虎， 因它们吃野鼠野兽，保护了禾苗；六坊，祭堤坊；七水庸，祭水沟；八祭昆虫，以免虫害。 ⑦,high
transport_8a449d3422c948,交通,general_transport,,swhgz_842a00b22f4b,104,蔽。 ②槎枒：即槎牙。错杂不齐的样子。 ③敞：宽阔。 ④檀越：施主。名色：名字、称号。 ⑤四达要冲：通向四方的交通要道。 ⑥置：设置。汛：军队戍防地，作用是传递、报告紧急军情，和瞭望台、烽火台差 不多。,high
transport_1e3ec8f811c4c2,桥梁,bridge,六合,swhgz_842a00b22f4b,114,渡县南四十五里。 石版滩渡县南五十里，即费家渡。 龙王庙渡县南五十里。 张家堡渡县东南七十里，界江浦、六合。 桥梁 安乐桥北门外大街。桥为城北沟渠汇流处，岁久堙塞，近因居民修街兼浚 桥谷，仍旧通流。 太平桥南门内大街。,high
transport_727e5a0d4f4380,桥梁,bridge,,swhgz_842a00b22f4b,115,理。 ①砂：字或作“沙”。见下文王琮《培补地脉禀呈》。 ②向来：以前，先前。 ③桥工岁修田：指田赋用来支付每年桥梁修补费用的田地。,high
